date_utc,scan_ts_utc,trades_today,wins,losses,winrate,avg_pnl,daily_pnl_sim,max_consec_losses,max_dd_sim
2026-03-06,2026-03-06T00:26:59.636788+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:33:16.337327+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:39:30.707678+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:45:50.671856+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:47:51.438271+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:50:11.451497+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:51:50.782980+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:53:02.970427+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:53:56.654204+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:56:10.015112+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:58:23.536496+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T00:59:18.586039+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:00:37.363811+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:02:54.886867+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:05:05.348703+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:05:38.956145+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:07:19.857887+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:09:24.191091+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:11:28.734104+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:11:51.421413+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:13:40.777724+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:15:45.234688+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:17:47.583978+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:18:00.925071+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:19:56.834803+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:22:00.537403+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:24:04.351336+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:24:11.054842+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:27:02.357383+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:29:24.217850+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:30:29.365479+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
2026-03-06,2026-03-06T01:31:58.165387+00:00,13,0,0,0.0,0.6191,8.0489,1,0.0
