wf_run_id,donchian_n_15m,body_atr_15m,trend_sep_atr_1h,use_5m_confirm,score,p20_expectancy_R,p20_profit_factor,p20_winrate,median_trades,penalty_low_trades,windows_count
d673ad28e9ab,15,0.25,0.5,0,0.3872438506488945,0.10194,1.16412,0.5247985064889442,277.0,0.0,9
d673ad28e9ab,15,0.25,1.1,0,0.3872062918500264,0.11318,1.1072199999999999,0.5258229185002641,266.0,0.0,9
d673ad28e9ab,15,0.2,1.1,0,0.38320165456545663,0.10768,1.11488,0.5254565456545655,272.0,0.0,9
d673ad28e9ab,20,0.2,0.8,0,0.3824118518518519,0.11192,1.0932,0.5185185185185186,242.0,0.0,9
d673ad28e9ab,15,0.25,0.8,0,0.3822062678062678,0.1056,1.12,0.526062678062678,274.0,0.0,9
d673ad28e9ab,15,0.2,0.5,0,0.38069401350048215,0.09778,1.15268,0.5237801350048217,285.0,0.0,9
d673ad28e9ab,20,0.15,1.1,0,0.37877536475666645,0.11018,1.08324,0.5194736475666644,245.0,0.0,9
d673ad28e9ab,15,0.15,1.1,0,0.37872862745098046,0.10384,1.1116000000000001,0.5256862745098039,280.0,0.0,9
d673ad28e9ab,15,0.2,0.8,0,0.37839893054766377,0.1011,1.12404,0.5249093054766379,280.0,0.0,9
d673ad28e9ab,20,0.3,0.8,0,0.3782608337317974,0.10990000000000001,1.08298,0.5176483373179743,234.0,0.0,9
d673ad28e9ab,15,0.15,0.8,0,0.378204760173076,0.10148000000000001,1.12084,0.5255676017307599,288.0,0.0,9
d673ad28e9ab,20,0.2,1.1,0,0.37574960061724066,0.1085,1.07754,0.5174160061724065,237.0,0.0,9
d673ad28e9ab,20,0.25,0.8,0,0.375382891434193,0.10792,1.07884,0.5169489143419297,237.0,0.0,9
d673ad28e9ab,20,0.3,1.1,0,0.37146647026125634,0.10640000000000002,1.0671000000000002,0.5164647026125625,229.0,0.0,9
d673ad28e9ab,15,0.15,0.5,0,0.369404997467797,0.08738000000000001,1.14922,0.5218099746779699,293.0,0.0,9
d673ad28e9ab,20,0.25,1.1,0,0.36835151482479783,0.10424,1.06266,0.5157951482479783,232.0,0.0,9
